#000000,#000055,#0000AA,#0000FF,#005500,#005555,#0055AA,#0055FF,#00AA00,#00AA55,#00AAAA,#00AAFF,#00FF00,#00FF55,#00FFAA,#00FFFF,#550000,#550055,#5500AA,#5500FF,#555500,#555555,#5555AA,#5555FF,#55AA00,#55AA55,#55AAAA,#55AAFF,#55FF00,#55FF55,#55FFAA,#55FFFF,#AA0000,#AA0055,#AA00AA,#AA00FF,#AA5500,#AA5555,#AA55AA,#AA55FF,#AAAA00,#AAAA55,#AAAAAA,#AAAAFF,#AAFF00,#AAFF55,#AAFFAA,#AAFFFF,#FF0000,#FF0055,#FF00AA,#FF00FF,#FF5500,#FF5555,#FF55AA,#FF55FF,#FFAA00,#FFAA55,#FFAAAA,#FFAAFF,#FFFF00,#FFFF55,#FFFFAA,#FFFFFF,Mean,Variance,Entropy,Contrast,Homogeneity,Correlation,Energy,huMoment 1,huMoment 2,huMoment 3,huMoment 4,huMoment 5,huMoment 6,huMoment 7,Area,Perimeter,Label
568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,1714.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,117.19323467230444,3031.9571635326665,4.486647322707336,691.0039491004829,0.4495058005813598,0.8833603052734491,0.22147499693154438,0.3130402491807159,0.7724031753314856,1.3760549682393122,2.134304341519686,4.985230913207847,-3.0779513346621106,-3.8908857169755957,662.5,164.46803605556488,Lemon
1383.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,324.0,1224.0,1.0,0.0,0.0,726.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,1544.0,243.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.68842105263158,2236.2162518928903,5.602837986761936,724.1581818181821,0.3307279170371881,0.8347001440035184,0.21174872056557292,0.01961176884544393,0.3462143149693525,0.6369868173187722,1.3822396528463912,-2.5170935116512534,-1.6476838411882797,-2.570976334352044,1499.0,348.93607223033905,Limes
8029.0,1248.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,402.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0385,479.49321775000004,4.967261773545937,565.5790816326527,0.5511762394759372,0.3934370303655464,0.17241196318091356,0.4069305062560638,1.0316504906643966,1.5530125844579432,2.480857951430245,-4.516165670010137,-3.007060140402512,-5.043208292578318,781.0,166.22539579868317,Grape
1025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,18.0,0.0,0.0,334.0,296.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,1658.0,10.0,0.0,0.0,2.0,0.0,0.0,123.51108108108109,4291.857444777209,5.063634131231239,1431.4957142857145,0.4449895896232954,0.8310036569937478,0.237392295664405,-0.026219486779885375,0.09090157599804684,0.716203529336503,1.566115689985604,-2.735220082385908,-1.626093831767688,-3.166324657955994,1178.5,284.55129635334015,Lemon
2085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,14.0,0.0,0.0,55.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3545.0,75.0,0.0,0.0,423.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,24.0,305.0,0.0,0.0,0.0,0.0,0.0,99.183125,2631.6393402343747,5.662319451476484,870.8053571428571,0.2837114058078337,0.8299811726025075,0.2248800093071985,0.7829545499727137,2.905681204696224,4.3594714371876995,5.984265209650574,-11.26799753869548,-7.562968889515473,11.353701671096019,7007.0,317.3380936384201,Lychee
558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,137.0,135.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,976.0,12.0,0.0,0.0,1.0,0.0,0.0,123.30116648992576,4604.206223453724,4.817415853311787,1286.0886917960083,0.43983991426785624,0.8591134155316201,0.2615371355957089,0.3725696447870522,0.9090343868792138,1.6249026176847674,2.5429121274382727,-4.728699168585938,-3.057277531062162,-4.840104737200981,608.0,145.39696848392487,Lemon
1307.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,1107.0,1.0,0.0,0.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,1676.0,275.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.85696428571428,2280.19686221301,5.642060025873245,763.1079629629633,0.3240475404432287,0.8294013933251194,0.20480074963425882,0.005493545385155907,0.29518556837125637,0.6103486085331998,1.3756390797840097,-2.4325916159832803,-1.5799390330189649,-2.6652552727519114,1439.0,340.1076455116272,Limes
3587.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,126.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.809736842105266,508.6214315096952,3.77317078415096,907.2980555555561,0.6412099745104882,0.11754105877781044,0.28691842680799623,0.09272325169712393,0.32305863963217146,1.0511107279415193,1.8881560428425999,-3.483714056969569,-2.117260443763875,3.53603936582129,1441.0,280.7939382791519,Grape
1285.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,565.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1791.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00782608695653,2891.855156143667,5.663582360288983,906.0772727272724,0.3242211779713161,0.841298150506095,0.2351923557747489,0.15264156900325457,0.5880009783073474,1.1392169848353875,1.4354952020368044,2.7546983302858283,1.891694321513551,-3.155422890986989,1705.0,383.76450049877167,Limes
1147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,347.0,0.0,0.0,12.0,2403.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,18.0,0.0,0.0,0.0,0.0,0.0,110.2134090909091,3164.560592923554,5.225327338946891,678.1305658627089,0.4639793933539952,0.8899829482256196,0.23633870325661774,0.015699415421652395,0.19669491012401966,0.7001251509147716,1.5391490639660503,-2.6881116012633326,-1.6595930131943717,-3.108038860908122,1267.5,296.6934313774109,Lemon
